price_date,ticker,last_price
13/08/2018,VIX Index,14.78
10/08/2018,VIX Index,13.16
09/08/2018,VIX Index,11.27
08/08/2018,VIX Index,10.85
07/08/2018,VIX Index,10.93
06/08/2018,VIX Index,11.27
03/08/2018,VIX Index,11.64
02/08/2018,VIX Index,12.19
01/08/2018,VIX Index,13.15
31/07/2018,VIX Index,12.83
30/07/2018,VIX Index,14.26
27/07/2018,VIX Index,13.03
26/07/2018,VIX Index,12.14
25/07/2018,VIX Index,12.29
24/07/2018,VIX Index,12.41
23/07/2018,VIX Index,12.62
20/07/2018,VIX Index,12.86
19/07/2018,VIX Index,12.87
18/07/2018,VIX Index,12.1
17/07/2018,VIX Index,12.06
16/07/2018,VIX Index,12.83
13/07/2018,VIX Index,12.18
12/07/2018,VIX Index,12.58
11/07/2018,VIX Index,13.63
10/07/2018,VIX Index,12.64
09/07/2018,VIX Index,12.69
06/07/2018,VIX Index,13.37
05/07/2018,VIX Index,14.97
04/07/2018,VIX Index,15.555
03/07/2018,VIX Index,16.14
02/07/2018,VIX Index,15.6
29/06/2018,VIX Index,16.09
28/06/2018,VIX Index,16.85
27/06/2018,VIX Index,17.91
26/06/2018,VIX Index,15.92
25/06/2018,VIX Index,17.33
22/06/2018,VIX Index,13.77
21/06/2018,VIX Index,14.64
20/06/2018,VIX Index,12.79
19/06/2018,VIX Index,13.35
18/06/2018,VIX Index,12.31
15/06/2018,VIX Index,11.98
14/06/2018,VIX Index,12.12
13/06/2018,VIX Index,12.94
12/06/2018,VIX Index,12.34
11/06/2018,VIX Index,12.35
08/06/2018,VIX Index,12.18
07/06/2018,VIX Index,12.13
06/06/2018,VIX Index,11.64
05/06/2018,VIX Index,12.4
04/06/2018,VIX Index,12.74
01/06/2018,VIX Index,13.46
31/05/2018,VIX Index,15.43
30/05/2018,VIX Index,14.94
29/05/2018,VIX Index,17.02
28/05/2018,VIX Index,15.12
25/05/2018,VIX Index,13.22
24/05/2018,VIX Index,12.53
23/05/2018,VIX Index,12.58
22/05/2018,VIX Index,13.22
21/05/2018,VIX Index,13.08
18/05/2018,VIX Index,13.42
17/05/2018,VIX Index,13.43
16/05/2018,VIX Index,13.42
15/05/2018,VIX Index,14.63
14/05/2018,VIX Index,12.93
11/05/2018,VIX Index,12.65
10/05/2018,VIX Index,13.23
09/05/2018,VIX Index,13.42
08/05/2018,VIX Index,14.71
07/05/2018,VIX Index,14.75
04/05/2018,VIX Index,14.77
03/05/2018,VIX Index,15.9
02/05/2018,VIX Index,15.97
01/05/2018,VIX Index,15.49
30/04/2018,VIX Index,15.93
27/04/2018,VIX Index,15.41
26/04/2018,VIX Index,16.24
25/04/2018,VIX Index,17.84
24/04/2018,VIX Index,18.02
23/04/2018,VIX Index,16.34
20/04/2018,VIX Index,16.88
19/04/2018,VIX Index,15.96
18/04/2018,VIX Index,15.6
17/04/2018,VIX Index,15.25
16/04/2018,VIX Index,16.56
13/04/2018,VIX Index,17.41
12/04/2018,VIX Index,18.49
11/04/2018,VIX Index,20.24
10/04/2018,VIX Index,20.47
09/04/2018,VIX Index,21.77
06/04/2018,VIX Index,21.49
05/04/2018,VIX Index,18.94
04/04/2018,VIX Index,20.06
03/04/2018,VIX Index,21.1
02/04/2018,VIX Index,23.62
29/03/2018,VIX Index,19.97
28/03/2018,VIX Index,22.87
27/03/2018,VIX Index,22.5
26/03/2018,VIX Index,21.03
23/03/2018,VIX Index,24.87
22/03/2018,VIX Index,23.34
21/03/2018,VIX Index,17.86
20/03/2018,VIX Index,18.2
19/03/2018,VIX Index,19.02
16/03/2018,VIX Index,15.8
15/03/2018,VIX Index,16.59
14/03/2018,VIX Index,17.23
13/03/2018,VIX Index,16.35
12/03/2018,VIX Index,15.78
09/03/2018,VIX Index,14.64
08/03/2018,VIX Index,16.54
07/03/2018,VIX Index,17.76
06/03/2018,VIX Index,18.36
05/03/2018,VIX Index,18.73
02/03/2018,VIX Index,19.59
01/03/2018,VIX Index,22.47
28/02/2018,VIX Index,19.85
27/02/2018,VIX Index,18.59
26/02/2018,VIX Index,15.8
23/02/2018,VIX Index,16.49
22/02/2018,VIX Index,18.72
21/02/2018,VIX Index,20.02
